cut,scene_key,place,time,weather,situation,situation_en,remove,remove_en,structures,era,source
210,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,イメージカット。彼女、睡眠レス。,,,,,現代日本（modern-day Japan）,conte:page_073.png;conf:medium
211,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,プレゼントに近づく手。,,,,,現代日本（modern-day Japan）,conte:page_073.png;conf:medium
212,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_073.png;conf:low
213,お隣さんのアパート,集合住宅の一室と廊下・玄関,夜,,,,,,,現代日本（modern-day Japan）,conte:page_073.png;conf:low
214,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_074.png;conf:low
215,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_074.png;conf:low
216,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_075.png;conf:low
217,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_075.png;conf:low
218,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_076.png;conf:medium
219,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_076.png;conf:medium
220,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_077.png;conf:low
221,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_077.png;conf:low
222,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_077.png;conf:low
223,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_078.png;conf:medium
224,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_078.png;conf:low
225,夜の住宅街・隔離空間発生,夜の住宅街,夜,,間もなくす／爆発が走せる,,,,,現代日本（modern-day Japan）,conte:page_078.png;conf:medium
226,夜の住宅街・隔離空間発生,夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_079.png;conf:medium
227,燃えるアパート,爆発後の夜の住宅街,夜,,3ショット入口側。火の手が上がり倒壊しつつある3ショット。□ T.V.映像,,,,,現代日本（modern-day Japan）,conte:page_079.png;conf:medium
228,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_079.png;conf:low
229,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_080.png;conf:low
230,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_081.png;conf:low
231,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_081.png;conf:low
232,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_082.png;conf:medium
233,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_082.png;conf:low
234,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_082.png;conf:low
235,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_083.png;conf:low
236,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_083.png;conf:low
237,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_084.png;conf:medium
238,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_084.png;conf:low
239,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_084.png;conf:low
240,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_085.png;conf:medium
241,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_085.png;conf:medium
242,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_085.png;conf:low
243,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_085.png;conf:low
244,燃えるアパート,爆発後の夜の住宅街,夜,,アパート近くの狭めの道 Follow / Follow Smoke,,,,,現代日本（modern-day Japan）,conte:page_086.png;conf:medium
245,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_086.png;conf:low
246,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_086.png;conf:low
247,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_087.png;conf:low
248,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_087.png;conf:low
249,燃えるアパート,爆発後の夜の住宅街,夜,,その瞬間、隔離空間が発生する。Q.PAN UP,,,,,現代日本（modern-day Japan）,conte:page_088.png;conf:medium
250,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_088.png;conf:low
251,燃えるアパート,爆発後の夜の住宅街,夜,,ライトが振り返り、あちらへと(視線を向ける),,,,,現代日本（modern-day Japan）,conte:page_089.png;conf:medium
252,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_089.png;conf:low
253,燃えるアパート,爆発後の夜の住宅街,夜,,それを受けて 満足に 口角を上げて,,,,,現代日本（modern-day Japan）,conte:page_090.png;conf:medium
254,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_090.png;conf:low
255,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_090.png;conf:low
256,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_091.png;conf:low
257,燃えるアパート,爆発後の夜の住宅街,夜,,,,,,,現代日本（modern-day Japan）,conte:page_091.png;conf:medium
258,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,BGに東京タワーが見える。夜景。キレイ。,,,,,現代日本（modern-day Japan）,conte:page_091.png;conf:medium
259,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_091.png;conf:low
260,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_092.png;conf:medium
261,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_092.png;conf:low
262,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_093.png;conf:low
263,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_093.png;conf:medium
264,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_093.png;conf:low
265,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_094.png;conf:medium
266,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_094.png;conf:medium
267,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_094.png;conf:medium
268,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_094.png;conf:medium
269,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_095.png;conf:medium
270,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_095.png;conf:low
271,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_096.png;conf:high
272,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_096.png;conf:medium
273,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_096.png;conf:low
274,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_096.png;conf:low
275,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_097.png;conf:medium
276,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_097.png;conf:low
278,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_097.png;conf:low
279,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_098.png;conf:low
280,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_098.png;conf:low
281,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_099.png;conf:medium
282,夜の市街地・上空,夜の市街地（上空・俯瞰・隔離空間）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_099.png;conf:low
283,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,細い路地 外灯にむらがる蛾(2匹) PAN UP,,,,,現代日本（modern-day Japan）,conte:page_099.png;conf:medium
284,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_099.png;conf:medium
285,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_100.png;conf:medium
286,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_100.png;conf:low
287,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_100.png;conf:medium
288,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_100.png;conf:medium
289,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_101.png;conf:low
290,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_101.png;conf:low
291,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_101.png;conf:low
292,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_102.png;conf:low
293,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_103.png;conf:medium
294,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_103.png;conf:low
295,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_103.png;conf:low
296,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_103.png;conf:low
297,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_104.png;conf:medium
298,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_104.png;conf:medium
299,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_104.png;conf:medium
300,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_104.png;conf:low
301,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_105.png;conf:medium
302,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_105.png;conf:medium
303,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_105.png;conf:low
304,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_105.png;conf:low
305,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,静かに問う PAN UP,,,,,現代日本（modern-day Japan）,conte:page_106.png;conf:medium
306,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_106.png;conf:medium
307,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_106.png;conf:low
308,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_107.png;conf:medium
309,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_107.png;conf:low
310,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_107.png;conf:medium
311,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_107.png;conf:medium
312,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,外灯の下／かたきた／コピーの群れ,,,,,現代日本（modern-day Japan）,conte:page_108.png;conf:medium
313,夜の路地・対峙,夜の狭い路地（隔離空間・雑居ビル・外灯）,夜,,,,,,,現代日本（modern-day Japan）,conte:page_108.png;conf:low
