cut,staging,confidence,notes
289,夜の市街地の路上を、対象人物の頭上やや前方から見下ろす俯瞰アオリ気味の構図で、放射状に集束する遠近線が画面全体（特に上辺と左右）から中央下寄りへ強く伸び、広角的な強いパースを形成する。地面は画面下半分に広がり、路面のひび割れやアスファルトの線が数本走るのみで、中央の赤枠付近（人物の上半身位置）に向かって集中する。TU（トラックアップ）で寄っていくカットのため、建物の詳細や看板・小物などは描かれず、収束する線と薄い路面の陰影のみのシンプルな空間。,medium,原図は集束する遠近線と路面のみで具体物が乏しく「頭上より2灯斜め接近」は照明演出のため背景実物としては描かない判断。
290,夜の細い路地を地面すれすれの超ローアングルで見上げ、奥へ一点消失するパースの強い広角構図。左右に建物の壁が迫り(左手前は窓・雨樋・室外機のある壁、右奥にも窓の並ぶ壁)、画面下半分は手前に大きく広がる路面が消失点へ向かって急激にすぼまる。消失点は画面中央やや下、標準フレーム下辺付近にあり、そこへ向かって左右の壁と路面の線が集中する。,high,Q.PAN UPと下方フレーム余白(A〜C)から、キャラ降臨に合わせ上へパンする縦長構図で、下の路面が主役の空間。
290,カメラは夜の狭い路地の地面近くから正面奥へ向け、床面を大きく手前に取ったローアングル構図。画面中央奥に強い一点透視の消失点があり、そこから左右へ路地の建物壁面（左に窓や庇、右に窓の並ぶ壁）が急なパースで手前に迫り、画面下半分は舗装された路面が広く広がる。空や上部の建物頂部はほぼ写らず、遠景の抜けや人物・光源は背景には含めない（消失点は下段Bフレームまでパンアップする余地を残す）。,high,強い一点透視と赤枠のQ.PAN UP指定から、地面主体のローアングルで奥へ抜ける路地構図と判断。
290,夜の狭い市街地の路地を、路面すれすれの低いアングルで奥へ向かって見る構図。画面中央に街灯のポールが縦に立ち、その左右に建物の壁面（左は窓の並ぶ二階建て、右は塀や建物の側面）がパースで奥へ収束し、消失点は画面中央やや下の路地奥に位置する。手前は路面が大きく広がり、Q.PAN UP指定のため画面下から上へパンして街灯上部・空へ抜ける縦の余白を残す。,medium,原図は路地の一点透視レイアウトで街灯が主軸だが、注記どおり側面のパースが破綻しており、キャラ（舞い降りる巨妖）の位置は路地奥中央付近と推定。
291,夜の路地を斜め下から見上げるアオリ気味の画角で、カメラは画面左手前の建物壁面に沿って奥へ向く。左側にアパート風建物の外壁が大きく写り、上部に手すり付きの張り出し窓、中央やや下に小さな四角い窓、壁の下端を斜めに走る境界線がある。右奥は開けた暗い路地空間で、右手前から左奥へ複数の斜線（電線や構造物のパース線）が走る。人物（佐元神）は画面右寄りに立つため、その位置は空けておき、右側に大きな障害物は描かない。,medium,原図の斜線が電線か建物パースか判別しづらいが、左の建物壁と窓群は明確。
292,夜の狭い路地を、地面すれすれの低いローアングルで奥へ向かって捉えた画角。画面右奥に建物の壁が高く迫り上がり、そこからV字状に細い路地が奥へ切れ込み、路地の谷底へ向かって強い一点透視のパースがつく。左手前から画面中央の地面が広く傾いて手前に開け、右奥の建物群のみが壁面として立ち、地面には無数の斜線（降雨・スピード線）が走る。,medium,路地奥のグレー陰影と壁の縦線群は原図の実在要素だが、斜線が雨か効果線かは断定できない。
293,夜の狭い路地を見上げる仰角ローアングルで、カメラは路地の地面付近から奥へ向き、PAN UP（下から上へ）する構図。画面左右に古びた雑居ビルの壁面が両側から迫り、遠近感の強い広角パースで奥の路地へ狭く収束し、中央の路地奥は暗く抜けている。地面や空、人物・小物は背景に描かず、左右のビル壁と路地の消失点のみを写す。左右の壁面はPAN UPで下から上へ流れるため縦方向に長く連続させる。,high,原図は両側に迫るビル壁と中央路地の広角パースのみで、PAN UP指示（右端Aから上へ）が明示されている。
293,夜の狭い路地を路面近くのローアングルから見上げ、両側にビル壁が奥へV字に収束する一点透視構図。左右の建物壁面は手前で大きく傾き、画面中央下の路地奥へ収束して消失点を作り、そこへ向かってPAN UP（下から上へ振り上げ）する。写るのは左右のビル壁と路面のみで、抱えられたキャラは中央に立つ想定だが背景には人物・小物・空・看板等は描かれていない。,high,原図は路地の左右壁と消失点のみで、キャラ位置は画面中央（IMAGE2の立ち位置）を根拠に構図中心を判断。
293,狭い路地の底からやや見上げるアングルで、奥の消失点（画面中央やや下）へ向かって強い一点透視の構図。左右に雑居ビルの外壁が急角度で迫り、画面左端手前には室外機や配管らしき凹凸のあるビル壁面、右側にも高いビル群が並び、両ビルの隙間の奥に夜の街並みが小さく続く。空は画面上部中央のわずかな帯のみで、路面は下方に向かって手前へ広がる。PAN UPを想定し標準フレームより上方に余白を確保している。,high,原図の一点透視と両側ビルの配置は明瞭だが、地面のディテールは指示注記で調整予定のため簡略化。
294,夜の市街地の路面をやや俯瞰で捉え、カメラは斜め上から地面（路面）を見下ろす画角。画面全体を左下から右上へ走る強い対角線（濡れた路面の反射光や路面のエッジと思われる線）が支配し、画面左には縦方向の柱またはブロックの境界線、路面上には複数の短い斜線（路面の目地や水たまりの反射）が散在する。空や建物の立面・遠景は写らず、あくまで地面主体のレイアウトで、対角線より上の右上部が明るい地面の広がりとなる。キャラは右手前に配置される想定で、背景側に人物やオブジェクトは描き込まない。,medium,原図は斜線主体で抽象的なため、対角線を路面のパース線・反射と解釈したが具体物の断定は難しい。
295,夜の市街地を、地面すれすれのローアングルからやや見上げる構図。画面手前を左上から右下へ走る斜めの舗装路（縁石ライン）が大きく画面を横切り、その奥・画面左上に丸みを帯びた樹冠のシルエット、右上には空に伸びる街灯や電柱と思われる複数の縦線が立つ。画面右側はキャラ（エリエル）が入るため背景要素は疎で、建物の窓や看板・照明の点光源などは原図に無いので描かない。,medium,斜線群は道路の縁石と街灯・電柱のラフと解釈したが、線が粗く一部は用途が不確か。
296,夜の市街地の路地を、やや見上げ気味の広角アングルで捉える。画面左半分は手前へ迫り出す建物の壁面と地面が急な対角線パースで斜めに切り込み、右手前には巨大な建物の壁が縦に立ちはだかり、その間の奥へ路地が抜けていく。人物のいる中央〜路面のみが空き、遠景の空や具体的な看板・小物は描かれていない。,medium,強い対角パースと画面を横断する斜線から広角の見上げ構図と判断したが、線の一部が作画補助線かBook境界か判別しづらい。
297,夜の狭い路地（両側に建物が迫るビル街）を、地面近くの低い位置から見上げるアオリの構図。左右にビルの外壁・窓・階段状の構造が対称的に迫り、中央奥へ路地がすぼまって消失点へ抜ける。PAN UPで下から上へ振り上げるため、画面下部は路地の地面・手前の壁、上部はビル上層と夜空側へと繋がる縦方向の広がりを持たせる。,high,原図は左右のビルに挟まれた路地の一点透視で、PAN UP指定とアオリ位置の指示書き込みから低アングルと判断。キャラ（佐々木・エリエル）は背景に含めない。
297,夜の狭い路地／繁華街を、地面近くの低い位置から見上げるアオリ（あおり）の画角で捉え、両サイドに雑居ビルの壁面が奥へすぼまって続き、中央の細い通り抜けが遠近の消失点を作る構図。PAN UP指定のため、画面下部の路地の床・建物の基部から上へ振り上げると上層階の窓や外壁が現れる縦方向に情報を持った背景で、左右のビル群が画面の大半を占める。人物（見上げられる佐々木、手前下の子）は描かず、消失点は画面中央やや下寄りに置く。,high,赤フレームとPAN UP・アオリ指定、原図の左右ビルと中央路地の消失点から判断。ビルの装飾細部は原図の線に忠実に。
298,夜の市街地を背景に、佐々木の顔（画面左寄りバストアップ）越しに捉えたカット。カメラはほぼ水平で、背景は右下がりに走る建物のスカイライン（環境=空、地面）を描き、原図上部から中段にかけて斜めの稜線・電線状の細線が右へ流れる。キャラの背後・右側に開けた夜空が広がり、佐々木の顔がフレーム左半分を大きく占める配置。,medium,原図は斜線主体で具体的な建物ディテールが乏しく、環境=空・地面の指示から夜間市街地の遠景と判断したが細部は不確か。
299,夜の市街地、歩道レベルの水平アングルで人物2名の立ち位置を横から捉える引きの構図。画面奥（左〜中央）にビル壁面の縦線と窓のディテールが並び、中央やや左を垂直に走る太い柱（電柱ないし建物の角）が画面を左右に分割、下部には路面を示す複数の水平線が広がる。空や月、看板の文字、照明の光源などは原図に無いので描かない。右寄りの人物（佐々木）と手前中央の人物（エリエル）の立ち位置は背景の柱を挟んで配置される根拠となり、地面線・柱の位置は動かさない。,medium,原図は線が薄く要素が抽象的で、縦の柱と路面の水平線が主構造だが窓詳細の解釈にやや不確かさが残る。
300,夜の市街地、非常階段（外階段）を斜め下から見上げる煽りアングルのカット。画面中央から右にかけて金属製の階段が右上へ急勾配で斜めに走り、その踏み板とスケルトンの段板が連続して描かれ、右下には手すりまたは踊り場の縁が斜めに切れ込む。左端には建物壁面や柱状の縦線が落ち、階段の隙間から夜空の暗がりが覗く構図で、キャラは階段手前の空間に立つため背景に人物・室内・家具は含めない。,medium,原図は外部非常階段を煽りで捉えた構図と判断したが、細部の柱・壁の具体は線が粗く不確か。
302,夜の室内をやや低い位置からとらえた広角気味のカット。画面右手前に大きな縦長の窓枠（開口部）があり、左側の壁には水平に走る横木（棚か長押）が上部に見え、床面が左上から右下へ緩やかに傾いた斜線で示される。人物は右寄り手前に大きく配置されるため、背景の窓枠は人物の背後・右側に位置し、天井や家具など原図に無い要素は描かない。,medium,線がラフで窓枠と壁面・床の傾斜線は判別できるが、細部（棚か窓かの断定）は不確か。
303,ローアングルで、路面すれすれのカメラが夜の市街地の地面を斜め俯瞰で捉える構図。画面には奥へ向かって斜めに走る舗装路の継ぎ目やアスファルトの割れ目・境界線が対角線状に伸び、右下寄りに『地面』指定のエリアが広がるのみで、キャラの裸足の足元が立つ路面が主役。人物・建物・小物は一切写さず、地面のテクスチャと夜の陰影だけで構成する。,medium,原図の線は路面の分割線と推測、セルの足位置から地面ローアングルと判断したが具体的な地面模様は不確か。
304,夜の市街地の路面をほぼ真横〜わずかに見下ろす目線で捉えたローアングル寄りの構図で、カメラは座り込むお隣さん（星崎）の正面やや上に位置し、地面と背後の空間に向く。画面全体は舗装された路面が大きく占め、床面には斜めに走る複数の線（路面の継ぎ目や段差、影のライン）が奥へ伸び、左右上隅にBookの縦要素（電柱や柱状のもの）がわずかに掛かる程度で、中央〜下部は開けた地面。,medium,原図は線が疎で具体物が判別しにくく、路面と斜線・両端のBook以外は推測を避けたため描写を最小限にとどめた。
305,夜の市街地で、頭上を斜めに横切る高架状の橋梁・鉄骨構造と、それを支える斜めの梁を画面中央から左下へ走らせた、下方から仰ぎ見るアオリ気味の構図。橋の下面に沿って手すり付きの階段状ステップが左上から右下へ連なり、画面右側には放射状に伸びる複数の梁・桁が奥行きを作る。指定通りPAN UPするため、開始位置は下方（彩色フレーム下端）から標準フレームへ向けて上げる想定。,medium,線が交錯した高架下・橋梁のラフで細部の判別が難しいが、斜め構造とPAN UP指示は明確。
306,夜の市街地の路地を、キャラの右後方（やや低め〜ほぼアイレベル）から捉えた横位置の画角。画面左寄りに背の高いブロック塀（「塀」）が縦に立ち、その手前から奥へ地面ラインが伸び、右側にはもう一枚の壁・境界のエッジが縦に走る、望遠寄りでパースの浅い平板な構図。人物（お隣さん）は画面右半分に立つため、背景の塀と壁面は画面左〜中央に開けて配置し、空や街灯など原図に無い要素は描かない。,medium,原図の線は塀と地面・壁の境界程度で情報が少なく、細部の建物構造は特定できないため塀と地面ラインの位置関係のみを根拠にした。
307,夜の市街地を横位置16:9で捉えたショット。カメラはお隣さん（画面左手前・胸から顔にかけての上半身がバストアップで大きく入る）の左側やや後方に据え、右方向の中景〜遠景へ向く。原図の背景は建物の輪郭や窓・柱を示す縦横のまばらな線のみで、画面中央付近にEYE線が水平に走り、右下寄りにビル状の垂直エッジが立つ。手前左のキャラは背景ではなくセルなので描画せず、余白の広い右側の夜景空間を主体にする。,medium,原図の線が非常に薄く抽象的なため、建物の具体形状は特定できずおおよその垂直・水平エッジのみを根拠にした。
308,夜の市街地の低い位置から緩い見上げ気味で、画面手前を大きく横切る手すり（ガードレールないし柵の水平材）と、そこに立つ縦の支柱を捉える構図。画面左手前に手すりの水平ラインが左下がりに走り、中央やや右で縦支柱が交差、右奥には街路樹の茂みが暗く塊状に見え、その奥へ道路面が右上方向へ伸びる。左上に窓枠らしき建物の面が入るが、人物・小物・具体的な建物内部は写さない。手すりと支柱は左に立つお隣さんが寄りかかる・傍らに立つ位置の根拠となるため動かさない。,medium,原図の線は手すり・支柱・街路樹・道路面と読めるが夜景の質感や光源は描かれておらず、建物左上要素は窓枠と推測で確度は中程度。
309,夜の市街地を背景にした顔寄りのクローズアップ画角で、カメラは人物の斜め正面をやや見上げるように捉える。背景は極めて簡素で、原図には水平の稜線状の線（地平・建物の輪郭を示す薄い基準線）と縦の中心ガイドのみが引かれ、画面左寄りにBook（手前の遮蔽物）が配置される想定。夜景の街並みや外灯・群衆などの具体物は原図に描かれておらず、キャラの顔が画面右半分を大きく占めるため背景はほぼ余白で写り込みは少ない。,low,原図の描き込みが基準線とBook指示のみで背景実体が乏しく、夜の市街地という設定情報から最小限の解釈を加えた。
310,夜の市街地の路地を正面奥へ抜ける構図で、カメラは路地の中央付近から水平に奥の消失点へ向く。画面中央に建物の谷間から夜空がのぞき、左右に雑居ビル・住宅の壁面が対称的に迫り、左手前には塀際の植え込み、路地は中央奥に向かって収束する遠近感で下部に路面が広がる。標準〜やや広角気味の画角で、人物（佐々木）はこの路地中央やや右に立つ想定のためその空間を空けておき、街灯・看板・通行人など原図に無いものは描かない。,high,EYE線は路地中央の消失点付近、キャラ位置はIMAGE2で右寄り中央に佐々木が立つことを根拠とした。
311,夜の市街地で、佐々木のバストアップを正面やや近距離から捉えた画角。背景は縦の柱状構造（電柱や建物の縁）が画面右寄りに数本並び、右端に「電柱」と注記された電柱、その右側に斜線で示された降雨またはハッチングの領域がある。中央〜左は空間が抜けており、パースは浅め（標準〜やや望遠）で被写体に寄った構図。,medium,背景線が薄くラフなため、柱状物が建物の縁か電柱か断定しづらく、右の斜線は雨表現の可能性が高いが確証はない。
